
id,socialId,name,registerId,represent,type,builtTime,regAmount,checkTime,regLocate,state,locate,busScope
22	,91996041YHH629QRNJ	,22	,314603148623185	,万妍	,有限责任公司	,19960806	,459.11	,20160707	,广安市市场监督管理局	,存续	,广安市	,锁具，保险柜，门铃，可视门铃，防盗设施，报警装置，监视，监控设备，避雷产品，防弹器材，防暴器材，防身用具，军需用品，救生器材	
23	,910964877AJBKGUR6U	,23	,649370522154637	,秦钰轮	,两合公司	,19970520	,822.07	,20190627	,朝阳市市场监督管理局	,存续	,朝阳市	,纸浆，文化用纸，包装用纸，家用纸品，壁纸，废纸，其它用途用纸，标签，标牌，胶带，索具，托盘，包装材料，纸制包装用品	
24	,9177577799P22JBRR8	,24	,191092939053013	,勾钰坚	,股份两合公司	,19980727	,1738.81	,20160813	,攀枝花市市场监督管理局	,存续	,攀枝花市	,轿车，越野汽车，吉普车，卡车，载客汽车，旅行面包车，公共汽车，微型客车，其它载客汽车，专用汽车，工程汽车，工具汽车，消防车，警车，救护车，通讯和广播用车，皮卡，洒水车，道路清扫车，垃圾车，其他专用汽车	
25	,91138967F6KGEUHPLF	,25	,116065536756849	,容鲜智群	,无限责任公司	,20120126	,591.74	,20190503	,亳州市市场监督管理局	,存续	,亳州市	,旅游休闲旅游用品，宾馆酒店用品，宠物及用品，纪念品，扑克，棋类，乐器，钓鱼，健身，游艺设施，旅行服务	
26	,91699051J6WH593FA7	,26	,465673242204915	,廖娴	,无限责任公司	,20021204	,847.22	,20170924	,乐山市市场监督管理局	,存续	,乐山市	,金属矿产，有色金属，有色金属制品，有色金属合金，有色金属合金制品，稀土及稀土制品，黑色金属及制品，铁合金及制品，钢铁及制品，铸锻件，金属丝网，粉末冶金，磁性材料，废金属，非金属矿产	
27	,91124808B9W94C1QP2	,27	,240931771525056	,缑盛	,两合公司	,20041016	,1002.82	,20220729	,三沙市市场监督管理局	,存续	,三沙市	,办公木制品，其他材料办公家具，医用家具，剧场桌椅，影院桌椅，实验室家具，校园桌椅，保险柜，档案柜，密集架，其他办公家具	
28	,91235258J20GRKR3RT	,28	,205065802124174	,东郭泰	,股份两合公司	,20150309	,180.9	,20200625	,阜阳市市场监督管理局	,存续	,阜阳市	,锁具，保险柜，门铃，可视门铃，防盗设施，报警装置，监视，监控设备，避雷产品，防弹器材，防暴器材，防身用具，军需用品，救生器材	
29	,913505017P1DBKW0J6	,29	,268220752096099	,谭器丹	,股份有限公司	,19980712	,639.85	,20191030	,西宁市市场监督管理局	,存续	,西宁市	,计算机，消耗品，插卡类，主机配件，电脑外设，机箱，UPS与电源，网络设备，配件，电脑，电子记事簿，笔记本电脑，服务器，工作站，二手电脑及用品	
30	,91890717XQYWRKXX12	,30	,649989097753401	,王笑纨	,有限责任公司	,19901214	,277.37	,20220411	,湖州市市场监督管理局	,存续	,湖州市	,体育器材，体育场馆专用材料，体育场馆建设工程，康复器械，比赛服装，体育设施，其他体育用品	
31	,9129330807TLFRU45N	,31	,893650411176877	,费艺	,有限责任公司	,20190708	,750.16	,20140617	,毕节市市场监督管理局	,存续	,毕节市	,木制玩具，塑料玩具，填充，绒毛玩具，电子玩具，电动玩具，玩具珠，球，娃娃，玩具车，玩具枪，模型玩具，益智玩具	
32	,91459376W1H9GH3QLF	,32	,997552815140653	,裴礼馥	,股份有限公司	,20160131	,1537.72	,20180729	,珠海市市场监督管理局	,存续	,珠海市	,图书资料，光学及照相器材，耗材，文具，计算器，办公纸张，办公簿，办公本，办公册，信封，档案夹，软盘，硒鼓，墨盒，墨粉	
33	,912088071W57MYUKR4	,33	,411044016506831	,容露	,股份有限公司	,20190204	,1180.52	,20150701	,林芝市市场监督管理局	,存续	,林芝市	,水利、火力发电设备，水利、防洪工程及用品，河道疏浚工程，大坝、水库、闸门、泻洪工程，农田水利工程，江河、湖泊治理工程，电力工程，电力、太阳能及再生能源，其他水利水电设备，其他水利水电设施	
34	,91212333HAQF74BAB4	,34	,911878716602585	,缪电晓	,股份有限公司	,20000716	,1069.58	,20150426	,韶关市市场监督管理局	,存续	,韶关市	,体育器材，体育场馆专用材料，体育场馆建设工程，康复器械，比赛服装，体育设施，其他体育用品	
35	,914817081WC3FF7FKW	,35	,807920964842202	,滑燕	,股份有限公司	,20190122	,2539.34	,20201216	,晋中市市场监督管理局	,存续	,晋中市	,服饰，服装辅料，帽子，领带，围巾，头巾，手套，袜子，鞋及鞋材，针织服装，梭织服装，品牌服装，男装，女装，婴儿服装，儿童服装	
36	,91664116MND46PNHHB	,36	,134433917869696	,陶宏	,股份两合公司	,19910119	,710.6	,20141227	,秦皇岛市市场监督管理局	,存续	,秦皇岛市	,旅游休闲旅游用品，宾馆酒店用品，宠物及用品，纪念品，扑克，棋类，乐器，钓鱼，健身，游艺设施，旅行服务	
37	,91170087E5T5ER6L7X	,37	,511499551757556	,郜秋	,股份有限公司	,20030115	,930.37	,20140419	,厦门市市场监督管理局	,存续	,厦门市	,粮食、豆类，蔬菜及制品，水果及制品，坚果，杂果，干果，咖啡，可可及制品，棉类，麻类，含油子仁，果仁，籽，食用菌，烟草，花木，竹木，藤苇，干草，木炭，植物提取物，动物提取物，动植物油，动植物种苗，家禽，	
38	,91929328BGYK5Y9QNX	,38	,417789157283367	,丘信奇	,无限责任公司	,19950417	,2379.5	,20220223	,内江市市场监督管理局	,存续	,内江市	,服饰，服装辅料，帽子，领带，围巾，头巾，手套，袜子，鞋及鞋材，针织服装，梭织服装，品牌服装，男装，女装，婴儿服装，儿童服装	
39	,915720360P1U300J2E	,39	,739725270192921	,安博	,有限责任公司	,20170818	,1912.69	,20230330	,贵港市市场监督管理局	,存续	,贵港市	,木制玩具，塑料玩具，填充，绒毛玩具，电子玩具，电动玩具，玩具珠，球，娃娃，玩具车，玩具枪，模型玩具，益智玩具	
40	,915594510AHBM6H87F	,40	,228841420846388	,糜都璐	,无限责任公司	,20070905	,628.69	,20140502	,菏泽市市场监督管理局	,存续	,菏泽市	,服饰，服装辅料，帽子，领带，围巾，头巾，手套，袜子，鞋及鞋材，针织服装，梭织服装，品牌服装，男装，女装，婴儿服装，儿童服装	
41	,91182880YF8NHRB0Y1	,41	,823760203528037	,和好婕	,两合公司	,20001108	,685.85	,20131113	,通辽市市场监督管理局	,存续	,通辽市	,服饰，服装辅料，帽子，领带，围巾，头巾，手套，袜子，鞋及鞋材，针织服装，梭织服装，品牌服装，男装，女装，婴儿服装，儿童服装	
42	,91676706HU7N0J0BKB	,42	,629059902589096	,爱好荣	,有限责任公司	,19920101	,552.12	,20171007	,嘉兴市市场监督管理局	,存续	,嘉兴市	,体育器材，体育场馆专用材料，体育场馆建设工程，康复器械，比赛服装，体育设施，其他体育用品	
43	,915988191EPHNGLAFQ	,43	,285574944254546	,姓岚	,股份两合公司	,20130301	,79.68	,20210503	,泸州市市场监督管理局	,存续	,泸州市	,市政道路建设，市政公用设施建设，自来水输水工程，集中供暖、供热、供气工程，文教、卫生、体育、音乐等公益设施建设，纪念性建筑设施建设，各类建筑工程，木材板材，石材石料，水泥及制品，石灰，石膏，混凝土	
44	,914951307BTLBXGTAY	,44	,299891790635450	,茹奇	,两合公司	,20050301	,2324.09	,20190930	,西安市市场监督管理局	,存续	,西安市	,纸浆，文化用纸，包装用纸，家用纸品，壁纸，废纸，其它用途用纸，标签，标牌，胶带，索具，托盘，包装材料，纸制包装用品	
45	,91065324RWEQLPQED1	,45	,153432593749913	,房上新	,有限责任公司	,20140212	,119.99	,20210724	,六安市市场监督管理局	,存续	,六安市	,纸浆，文化用纸，包装用纸，家用纸品，壁纸，废纸，其它用途用纸，标签，标牌，胶带，索具，托盘，包装材料，纸制包装用品	
46	,91288901UE4235C8GJ	,46	,110589304659470	,秦善	,无限责任公司	,20130130	,1862.44	,20161221	,东莞市市场监督管理局	,存续	,东莞市	,旅游休闲旅游用品，宾馆酒店用品，宠物及用品，纪念品，扑克，棋类，乐器，钓鱼，健身，游艺设施，旅行服务	
47	,913157786DTP5NQ2N7	,47	,426375561874782	,安羽	,无限责任公司	,20181127	,353.2	,20220207	,河池市市场监督管理局	,存续	,河池市	,饮料，酒类，茶叶及制品，咖啡，可可及制品，水产及制品，禽畜肉及制品，罐头食品，速冻食品，方便食品，休闲食品，豆制品，蛋制品	
48	,91437148KJF8X511F0	,48	,223771809101308	,易友羽	,股份有限公司	,20060120	,639.5	,20210918	,潮州市市场监督管理局	,存续	,潮州市	,粮食、豆类，蔬菜及制品，水果及制品，坚果，杂果，干果，咖啡，可可及制品，棉类，麻类，含油子仁，果仁，籽，食用菌，烟草，花木，竹木，藤苇，干草，木炭，植物提取物，动物提取物，动植物油，动植物种苗，家禽，	
49	,915917949A4MJUNKPG	,49	,678553240706805	,简可	,股份有限公司	,20030128	,110.12	,20190129	,江门市市场监督管理局	,存续	,江门市	,家用电器，家用电脑，家用空调，家用电视机，净水器，饮水机，榨汁机，搅拌机，咖啡机，豆浆机，电热壶，电热杯	
50	,9152542870PW1XFAHK	,50	,726662900382401	,桂忠彪	,股份有限公司	,19990228	,271.02	,20120831	,北海市市场监督管理局	,存续	,北海市	,锁具，保险柜，门铃，可视门铃，防盗设施，报警装置，监视，监控设备，避雷产品，防弹器材，防暴器材，防身用具，军需用品，救生器材	
51	,91677019F5HWTR35WQ	,51	,231347173911059	,仇策	,股份有限公司	,20011224	,452.48	,20171118	,信阳市市场监督管理局	,存续	,信阳市	,磁性材料，半导体材料，绝缘材料，电工陶瓷材料，电子元器件、组件，电池，照明与灯具，插头，插座，充电器，电动机	
52	,91489999ED5GMJFH3B	,52	,525376428016321	,言菁	,有限责任公司	,19951129	,120.53	,20200324	,常德市市场监督管理局	,存续	,常德市	,体育器材，体育场馆专用材料，体育场馆建设工程，康复器械，比赛服装，体育设施，其他体育用品	
53	,91617476YCFJ1FJG66	,53	,148960714957141	,都珊	,有限责任公司	,19930312	,1670.61	,20141208	,福州市市场监督管理局	,存续	,福州市	,轿车，越野汽车，吉普车，卡车，载客汽车，旅行面包车，公共汽车，微型客车，其它载客汽车，专用汽车，工程汽车，工具汽车，消防车，警车，救护车，通讯和广播用车，皮卡，洒水车，道路清扫车，垃圾车，其他专用汽车	
54	,912360715YM82CFBL0	,54	,585573658168192	,昝梦	,股份两合公司	,20180103	,472.16	,20150622	,盐城市市场监督管理局	,存续	,盐城市	,服饰，服装辅料，帽子，领带，围巾，头巾，手套，袜子，鞋及鞋材，针织服装，梭织服装，品牌服装，男装，女装，婴儿服装，儿童服装	
55	,91705157MN2T54D6HX	,55	,780946800899093	,甘佳	,无限责任公司	,20200416	,736.63	,20210717	,亳州市市场监督管理局	,存续	,亳州市	,不干胶制品，广告材料，印刷出版物，音像制品及电子读物，广播，电视节目，排版，制版设备，印刷设备，二手印刷设备，印刷出版服，媒体和传播，培训，物业管理	
56	,915989320APTTC8GGN	,56	,909920883310957	,易玉	,无限责任公司	,19981009	,736.15	,20141224	,日照市市场监督管理局	,存续	,日照市	,救灾物资，防汛物资，抗旱物资，农用专用物资，储备物资，燃料，锅炉，供热设备，殡仪火化设备，其他物资；劳保用品	
57	,914367370TMQCX60MG	,57	,410429797734860	,时笑寒	,有限责任公司	,19990916	,1791.25	,20190907	,岳阳市市场监督管理局	,存续	,岳阳市	,木制玩具，塑料玩具，填充，绒毛玩具，电子玩具，电动玩具，玩具珠，球，娃娃，玩具车，玩具枪，模型玩具，益智玩具	
58	,91123537GLL0F90APK	,58	,270764142958158	,唐忠卿	,股份两合公司	,19940115	,1295.74	,20201120	,白山市市场监督管理局	,存续	,白山市	,饮料，酒类，茶叶及制品，咖啡，可可及制品，水产及制品，禽畜肉及制品，罐头食品，速冻食品，方便食品，休闲食品，豆制品，蛋制品	
59	,91499625LPWW7XPFFJ	,59	,341700067633562	,郜玉	,有限责任公司	,20190104	,1598.66	,20160621	,信阳市市场监督管理局	,存续	,信阳市	,金属矿产，有色金属，有色金属制品，有色金属合金，有色金属合金制品，稀土及稀土制品，黑色金属及制品，铁合金及制品，钢铁及制品，铸锻件，金属丝网，粉末冶金，磁性材料，废金属，非金属矿产	
60	,91040766JNT96HKFWL	,60	,414176088743062	,牧都春	,股份有限公司	,20151219	,741.36	,20190417	,嘉峪关市市场监督管理局	,存续	,嘉峪关市	,木制玩具，塑料玩具，填充，绒毛玩具，电子玩具，电动玩具，玩具珠，球，娃娃，玩具车，玩具枪，模型玩具，益智玩具	
61	,91933531QQ9F0AYDN1	,61	,556954656965978	,关伯	,有限责任公司	,20180101	,1545.93	,20201228	,普洱市市场监督管理局	,存续	,普洱市	,仪器，仪表，行业专用机械及设备，磨具，磨料，通用零部件，焊接、切割设备与材料，五金工具，气动工具，电动工具，减速机，变速机，泵及真空设备	
62	,914122343W02XT1JLK	,62	,635075201582202	,廖笑哲	,两合公司	,20081001	,348.58	,20120922	,淮北市市场监督管理局	,存续	,淮北市	,救灾物资，防汛物资，抗旱物资，农用专用物资，储备物资，燃料，锅炉，供热设备，殡仪火化设备，其他物资；劳保用品	
63	,91430514EW8B366D3Y	,63	,776507864961752	,诸葛玲	,无限责任公司	,20090526	,159.88	,20170817	,延安市市场监督管理局	,存续	,延安市	,旅游休闲旅游用品，宾馆酒店用品，宠物及用品，纪念品，扑克，棋类，乐器，钓鱼，健身，游艺设施，旅行服务	
64	,91462350LAH91581DE	,64	,563617198987357	,弓仁羽	,股份有限公司	,19951001	,993.55	,20140823	,吐鲁番市市场监督管理局	,存续	,吐鲁番市	,纸浆，文化用纸，包装用纸，家用纸品，壁纸，废纸，其它用途用纸，标签，标牌，胶带，索具，托盘，包装材料，纸制包装用品	
65	,913818003AGDLBCHJ1	,65	,631089553475539	,习被婉	,无限责任公司	,19920703	,205.06	,20150410	,巴彦淖尔市市场监督管理局	,存续	,巴彦淖尔市	,计算机，消耗品，插卡类，主机配件，电脑外设，机箱，UPS与电源，网络设备，配件，电脑，电子记事簿，笔记本电脑，服务器，工作站，二手电脑及用品	
66	,91378719FDQTEYPW19	,66	,240957214442576	,姜飘	,有限责任公司	,20200215	,1338.3	,20210511	,抚州市市场监督管理局	,存续	,抚州市	,计算机，消耗品，插卡类，主机配件，电脑外设，机箱，UPS与电源，网络设备，配件，电脑，电子记事簿，笔记本电脑，服务器，工作站，二手电脑及用品	
67	,91632895EBMDH24WKH	,67	,358350328196320	,钟离智龙	,有限责任公司	,20170820	,751.14	,20200423	,乌海市市场监督管理局	,存续	,乌海市	,废金属处理设施，纺织废料处理设施，皮革废料及处理设施，化工废料及处理设施，废气处理设施，水、污水处理设施，废料回收再利用	
68	,91999510467XAQLU1M	,68	,387352791921835	,弓易浩	,两合公司	,19991108	,189.07	,20170619	,百色市市场监督管理局	,存续	,百色市	,服饰，服装辅料，帽子，领带，围巾，头巾，手套，袜子，鞋及鞋材，针织服装，梭织服装，品牌服装，男装，女装，婴儿服装，儿童服装	
69	,910059976EUUDJ7MG7	,69	,314281167049217	,闵都影	,两合公司	,20160606	,1105.4	,20200211	,汕尾市市场监督管理局	,存续	,汕尾市	,仪器，仪表，行业专用机械及设备，磨具，磨料，通用零部件，焊接、切割设备与材料，五金工具，气动工具，电动工具，减速机，变速机，泵及真空设备	
70	,91616982AW8W7YRMML	,70	,230727208490143	,吉电国	,两合公司	,19941222	,205.06	,20180112	,雅安市市场监督管理局	,存续	,雅安市	,救灾物资，防汛物资，抗旱物资，农用专用物资，储备物资，燃料，锅炉，供热设备，殡仪火化设备，其他物资；劳保用品	
71	,91926006M60R1BE89N	,71	,766165308101071	,能博	,有限责任公司	,19931230	,547.79	,20211025	,鄂州市市场监督管理局	,存续	,鄂州市	,图书资料，光学及照相器材，耗材，文具，计算器，办公纸张，办公簿，办公本，办公册，信封，档案夹，软盘，硒鼓，墨盒，墨粉	
72	,91753579F310AMEE6A	,72	,140790392831465	,管杰	,两合公司	,19920301	,932.65	,20161227	,咸阳市市场监督管理局	,存续	,咸阳市	,金属矿产，有色金属，有色金属制品，有色金属合金，有色金属合金制品，稀土及稀土制品，黑色金属及制品，铁合金及制品，钢铁及制品，铸锻件，金属丝网，粉末冶金，磁性材料，废金属，非金属矿产	
73	,9187637223EUGX813Q	,73	,113717860302217	,夏都以	,股份有限公司	,19900901	,215.9	,20120908	,益阳市市场监督管理局	,存续	,益阳市	,救灾物资，防汛物资，抗旱物资，农用专用物资，储备物资，燃料，锅炉，供热设备，殡仪火化设备，其他物资；劳保用品	
74	,91583681DNA72HPKF5	,74	,717288232456353	,桓芳	,股份两合公司	,20110110	,2127.55	,20130105	,四平市市场监督管理局	,存续	,四平市	,磁性材料，半导体材料，绝缘材料，电工陶瓷材料，电子元器件、组件，电池，照明与灯具，插头，插座，充电器，电动机	
75	,91394668M8PGKXKHHD	,75	,600499947901467	,成桂	,无限责任公司	,19931101	,879.83	,20150126	,阜阳市市场监督管理局	,存续	,阜阳市	,锁具，保险柜，门铃，可视门铃，防盗设施，报警装置，监视，监控设备，避雷产品，防弹器材，防暴器材，防身用具，军需用品，救生器材	
76	,91782223XX2NM7DBTH	,76	,272935547737129	,父谷都香	,股份两合公司	,19940224	,903.65	,20210209	,呼伦贝尔市市场监督管理局	,存续	,呼伦贝尔市	,计算机，消耗品，插卡类，主机配件，电脑外设，机箱，UPS与电源，网络设备，配件，电脑，电子记事簿，笔记本电脑，服务器，工作站，二手电脑及用品	
77	,911324686Q5H6WLQU0	,77	,671985625066332	,路豪	,股份两合公司	,20161224	,311.07	,20181013	,宜宾市市场监督管理局	,存续	,宜宾市	,计算机，消耗品，插卡类，主机配件，电脑外设，机箱，UPS与电源，网络设备，配件，电脑，电子记事簿，笔记本电脑，服务器，工作站，二手电脑及用品	
78	,91430607BL1PHBTKQC	,78	,556986572112540	,池炎	,无限责任公司	,20101008	,411.04	,20160317	,安顺市市场监督管理局	,存续	,安顺市	,纸浆，文化用纸，包装用纸，家用纸品，壁纸，废纸，其它用途用纸，标签，标牌，胶带，索具，托盘，包装材料，纸制包装用品	
79	,91622235Q57D5FBJ80	,79	,483160633472545	,古忠勇	,股份有限公司	,20001125	,633.92	,20180602	,荆门市市场监督管理局	,存续	,荆门市	,金属矿产，有色金属，有色金属制品，有色金属合金，有色金属合金制品，稀土及稀土制品，黑色金属及制品，铁合金及制品，钢铁及制品，铸锻件，金属丝网，粉末冶金，磁性材料，废金属，非金属矿产	
80	,91796510CUD251KJM9	,80	,242083611209698	,贡桂	,股份有限公司	,19960520	,814.7	,20130920	,永州市市场监督管理局	,存续	,永州市	,旅游休闲旅游用品，宾馆酒店用品，宠物及用品，纪念品，扑克，棋类，乐器，钓鱼，健身，游艺设施，旅行服务	
81	,913475109JMDWXEHKG	,81	,832816545706933	,谢琴	,两合公司	,20140125	,1009.29	,20160713	,六盘水市市场监督管理局	,存续	,六盘水市	,不干胶制品，广告材料，印刷出版物，音像制品及电子读物，广播，电视节目，排版，制版设备，印刷设备，二手印刷设备，印刷出版服，媒体和传播，培训，物业管理	
82	,910378333DEEUJ0DD0	,82	,226588363412934	,孙仁茜	,股份有限公司	,20060403	,1678.22	,20141117	,吉安市市场监督管理局	,存续	,吉安市	,木制玩具，塑料玩具，填充，绒毛玩具，电子玩具，电动玩具，玩具珠，球，娃娃，玩具车，玩具枪，模型玩具，益智玩具	
83	,91218360WABR5BGY9H	,83	,887895598224848	,离宇珊	,股份有限公司	,19960624	,535.87	,20160115	,三门峡市市场监督管理局	,存续	,三门峡市	,粮食、豆类，蔬菜及制品，水果及制品，坚果，杂果，干果，咖啡，可可及制品，棉类，麻类，含油子仁，果仁，籽，食用菌，烟草，花木，竹木，藤苇，干草，木炭，植物提取物，动物提取物，动植物油，动植物种苗，家禽，	
84	,91158878ATEMWUBWA4	,84	,907691568166890	,全无琴	,股份有限公司	,20020611	,920.53	,20120929	,大庆市市场监督管理局	,存续	,大庆市	,粮食、豆类，蔬菜及制品，水果及制品，坚果，杂果，干果，咖啡，可可及制品，棉类，麻类，含油子仁，果仁，籽，食用菌，烟草，花木，竹木，藤苇，干草，木炭，植物提取物，动物提取物，动植物油，动植物种苗，家禽，	
85	,91854979E6TKYFAT0X	,85	,120552285077667	,辕令金倩	,股份有限公司	,20110104	,1090.17	,20160307	,威海市市场监督管理局	,存续	,威海市	,市政道路建设，市政公用设施建设，自来水输水工程，集中供暖、供热、供气工程，文教、卫生、体育、音乐等公益设施建设，纪念性建筑设施建设，各类建筑工程，木材板材，石材石料，水泥及制品，石灰，石膏，混凝土	
86	,91633619XQCFFEY7HM	,86	,907703371733009	,舌微卡政	,有限责任公司	,20180126	,1987.77	,20120929	,佳木斯市市场监督管理局	,存续	,佳木斯市	,仪器，仪表，行业专用机械及设备，磨具，磨料，通用零部件，焊接、切割设备与材料，五金工具，气动工具，电动工具，减速机，变速机，泵及真空设备	
87	,91029590LGA6YYL7BH	,87	,737024887505759	,成颖	,股份两合公司	,19910220	,1333.81	,20150904	,泰州市市场监督管理局	,存续	,泰州市	,木制玩具，塑料玩具，填充，绒毛玩具，电子玩具，电动玩具，玩具珠，球，娃娃，玩具车，玩具枪，模型玩具，益智玩具	
